NÂ°,Compound,Reaction,Introduced Group
1,H.H.H.H.H.H,.................,.................
2,Ha.H.H.H.H.H,SE.................,Ha.................
3,CO.H.H.H.H.H,SE.................,CO.................
4,F.H.H.H.H.H,SE.RE.SA...............,NH2.NO2.F...............
5,NO2.H.H.H.H.H,SE.................,NO2.................
6,OH.H.H.H.H.H,SE.RE.SA...............,NO2.NH2.OH...............
7,NH2.H.H.H.H.H,SE.RE................,NO2.NH2................
8,C.H.H.H.H.H,SE.RE................,CO.C................
9,OH.Ha.H.H.H.H,SE.SE.RE.SA..............,Ha.NO2.NH2.OH..............
10,C.Ha.H.H.H.H,SE.SE.RE...............,Ha.CO.C...............
11,Ha.H.H.NO2.H.H,SE.SE................,Ha.NO2................
12,OH.H.C.H.H.H,SE.SE.RE.SA..............,NO2.CO.B.OH..............
13,Ha.CO.H.H.H.H,SE.SE................,Ha.CO................
14,CO.NO2.H.H.H.H,SE.RE.SE.OX..............,NO2.NH2.CO.NO2..............
15,NH2.F.H.H.H.H,SE.RE.SA.SE.RE.............,NO2.NH2.F.NO2.NH2.............
16,C.CO.H.H.F.H,SE.SE.RE.SA.SE.............,NO2.CO.B.F.CO.............
17,OH.F.H.NH2.H.H,SE.RE.SA.SE.RE.SA.SE.RE..........,NO2.NH2.OH.NO2.NH2.F.NO2.NH2..........
18,OH.H.F.NH2.H.H,SE.RE.SE.SA.RE.SA.SE.RE..........,NO2.NH2.NO2.OH.NH2.F.NO2.NH2..........
19,NH2.CO.F.H.H.H,SE.RE.SE.SA.RE.SE............,NO2.NH2.NO2.F.NH2.CO............
20,NH2.Ha.H.H.H.H,SE.SE.RE...............,Ha.NO2.NH2...............
21,C.Ha.H.NO2.H.H,SE.RE.SE.SE..............,CO.C.NO2.Ha..............
22,NH2.H.C.H.NO2.H,SE.SE.RE.SE..............,NO2.CO.B.NO2..............
23,OH.F.H.H.H.NO2,SE.RE.SA.SE.RE.SA.SE...........,NO2.NH2.OH.NO2.NH2.F.NO2...........
24,NH2.H.NO2.Ha.H.H,SE.SE.RE.SE..............,Ha.NO2.NH2.NO2..............
25,OH.Ha.H.H.H.NO2,SE.RE.SA.SE.SE.............,NO2.NH2.OH.NO2.Ha.............
26,OH.H.Ha.NH2.H.H,SE.SE.RE.SA.SE.RE............,NO2.Ha.NH2.OH.NO2.NH2............
27,NH2.NO2.CO.H.H.H,SE.SE.RE.SE..............,NO2.CO.NH2.NO2..............
28,NH2.F.C.H.H.H,SE.RE.SA.SE.SE.RE............,NO2.NH2.F.NO2.CO.B............
29,NH2.H.F.CO.H.H,SE.RE.SE.PO.RE.SA.UP.SE..........,NO2.NH2.NO2..NH2.F..CO..........
30,NH2.F.H.H.H.NO2,SE.RE.SA.SE.RE.PO.SE.UP..........,NO2.NH2.F.NO2.NH2..NO2...........
31,NH2.F.H.C.H.H,SE.RE.SA.SE.RE.PO.SE.UP.RE.........,NO2.NH2.F.NO2.NH2..CO..C.........
32,NH2.NO2.H.H.Ha.H,SE.RE.SE.SA.RE.PO.SE.UP..........,NO2.NH2.NO2.Ha.NH2..NO2...........
33,NH2.Ha.H.H.C.H,SE.SE.RE.SE..............,NO2.CO.B.Ha..............
34,OH.Ha.H.H.NH2.H,SE.SE.RE.SE.SA.RE............,Ha.NO2.NH2.NO2.OH.NH2............
35,OH.Ha.H.F.H.H,SE.RE.SA.SE.SE.RE.SA...........,NO2.NH2.OH.Ha.NO2.NH2.F...........
36,NH2.NO2.H.H.C.H,SE.SE.RE.PO.SE.UP............,NO2.CO.B..NO2.............
37,NH2.CO.C.H.H.H,SE.SE.RE.PO.SE.UP............,NO2.CO.B..CO.............
38,NH2.H.C.NO2.H.H,SE.SE.RE.PO.SE.UP............,NO2.CO.B..NO2.............
39,Ha.CO.F.H.H.H,SE.SE.RE.SA.SE.............,NO2.Ha.NH2.F.CO.............
40,OH.NO2.H.F.H.H,SE.RE.SA.SE.RE.SE.SA...........,NO2.NH2.OH.NO2.NH2.NO2.F...........
41,NH2.H.C.F.H.H,SE.RE.SA.SE.SE.RE............,NO2.NH2.F.NO2.CO.B............
42,NH2.F.Ha.H.H.H,SE.RE.SA.SE.SE.RE............,NO2.NH2.F.NO2.Ha.NH2............
43,C.NO2.H.H.F.H,SE.SE.RE.SA.SE.............,NO2.CO.B.F.NO2.............
44,F.H.CO.H.NO2.H,SE.SE.RE.SE.SA.............,NO2.CO.NH2.NO2.F.............
45,NH2.CO.H.H.F.H,SE.RE.SE.SA.RE.SE............,NO2.NH2.NO2.F.NH2.CO............
46,C.H.Ha.H.F.H,SE.SE.SE.RE.SA.............,NO2.CO.Ha.B.F.............
47,OH.C.H.CO.H.H,SE.RE.SA.SE.RE.SE............,NO2.NH2.OH.CO.C.CO............
48,OH.NO2.H.H.Ha.H,SE.SE.RE.SA.SE.............,NO2.Ha.NH2.OH.NO2.............
49,Ha.F.H.H.H.NO2,SE.SE.RE.SE.SA.............,Ha.NO2.NH2.NO2.F.............
50,OH.H.F.H.CO.H,SE.SE.RE.SE.SA.RE.SA...........,NO2.CO.NH2.NO2.OH.NH2.F...........
51,OH.H.NO2.NH2.H.H,SE.RE.SA.SE.RE.PO.SE.UP..........,NO2.NH2.OH.NO2.NH2..NO2...........
52,OH.H.NH2.H.CO.H,SE.SE.RE.SE.SA.RE............,NO2.CO.NH2.NO2.OH.NH2............
53,OH.NH2.CO.H.H.H,SE.SE.RE.SA.SE.RE............,NO2.CO.NH2.OH.NO2.NH2............
54,OH.NH2.C.H.H.H,SE.SE.RE.SA.SE.RE............,NO2.CO.B.OH.NO2.NH2............
55,OH.NO2.H.NH2.H.H,SE.RE.SA.SE.RE.SE............,NO2.NH2.OH.NO2.NH2.NO2............
56,OH.Ha.H.NO2.H.H,SE.RE.SA.SE.SE.............,NO2.NH2.OH.NO2.Ha.............
57,C.H.CO.NO2.H.H,SE.RE.SE.RE.SE.OX............,CO.C.NO2.NH2.CO.NO2............
58,NH2.F.H.H.H.CO,SE.RE.SA.SE.RE.SE............,NO2.NH2.F.NO2.NH2.CO............
59,OH.CO.H.H.Ha.H,SE.SE.RE.SA.SE.............,NO2.Ha.NH2.OH.CO.............
60,OH.H.CO.NO2.H.H,SE.SE.RE.SA.SE.............,CO.NO2.NH2.OH.NO2.............
61,Ha.F.H.NO2.H.H,SE.RE.SE.SE.SA.............,NO2.NH2.Ha.NO2.F.............
62,F.CO.H.H.NO2.H,SE.RE.SE.SE.SA.............,NO2.NH2.NO2.CO.F.............
63,C.F.CO.H.H.H,SE.RE.SE.RE.SE.SA............,NO2.NH2.CO.C.CO.F............
64,OH.H.NO2.C.H.H,SE.RE.SE.RE.SE.SA............,NO2.NH2.CO.C.NO2.OH............
65,NH2.Ha.H.H.NO2.H,SE.RE.SE.SE..............,NO2.NH2.Ha.NO2..............
66,OH.Ha.H.C.H.H,SE.RE.SA.SE.SE.RE............,NO2.NH2.OH.CO.Ha.C............
67,OH.F.NO2.H.H.H,SE.RE.SE.SA.SE.SN............,NO2.NH2.NO2.OH.Ha.F............
68,NH2.NO2.H.H.CO.H,SE.SE.RE.PO.SE.UP............,NO2.CO.NH2..NO2.............
69,OH.H.CO.H.NO2.H,SE.SE.RE.SE.SA.............,NO2.CO.NH2.NO2.OH.............
70,NH2.NO2.F.H.H.H,SE.RE.SE.SA.RE.PO.SE.UP..........,NO2.NH2.NO2.F.NH2..NO2...........
71,NH2.C.Ha.H.H.H,SE.SE.RE.SE.RE.............,NO2.Ha.NH2.CO.C.............
72,OH.C.H.Ha.H.H,SE.RE.SA.SE.SE.RE............,NO2.NH2.OH.CO.Ha.C............
73,OH.CO.H.NO2.H.H,SE.RE.SA.SE.SE.............,NO2.NH2.OH.NO2.CO.............
74,NH2.H.F.H.CO.H,SE.SE.RE.SE.SA.RE............,NO2.CO.NH2.NO2.F.NH2............
75,NH2.F.H.CO.H.H,SE.RE.SA.SE.RE.SE............,NO2.NH2.F.NO2.NH2.CO............
76,C.F.H.H.CO.H,SE.RE.SE.RE.SE.SA............,NO2.NH2.CO.C.CO.F............
77,NH2.C.H.H.H.NO2,SE.RE.PO.SE.SE.UP.RE...........,NO2.NH2..NO2.CO..C...........
78,Ha.CO.H.H.H.NO2,SE.SE.SE...............,Ha.NO2.CO...............
79,C.Ha.H.F.H.H,SE.RE.SE.SE.RE.SA............,CO.C.NO2.Ha.NH2.F............
80,NH2.C.F.H.H.H,SE.RE.SE.SA.RE.SE.RE...........,NO2.NH2.NO2.F.NH2.CO.C...........
81,C.F.H.CO.H.H,SE.RE.SE.SE.RE.SA............,CO.C.NO2.CO.NH2.F............
82,OH.C.H.H.F.H,SE.RE.SE.SA.RE.SA.SE.RE..........,NO2.NH2.NO2.OH.NH2.F.CO.C..........
83,Ha.H.CO.H.NO2.H,SE.SE.SE...............,NO2.CO.Ha...............
84,F.CO.H.NO2.H.H,SE.RE.SA.SE.SE.............,NO2.NH2.F.NO2.CO.............
85,C.F.H.H.Ha.H,SE.RE.SA.SE.SE.RE............,NO2.NH2.F.CO.Ha.C............
86,Ha.H.CO.NO2.H.H,SE.SE.SE...............,CO.Ha.NO2...............
87,NH2.Ha.H.F.H.H,SE.SE.RE.SA.SE.RE............,NO2.Ha.NH2.F.NO2.NH2............
88,NH2.CO.NO2.H.H.H,SE.RE.SE.SE..............,NO2.NH2.NO2.CO..............
89,OH.Ha.H.H.C.H,SE.SE.RE.SA.SE.............,NO2.CO.B.OH.Ha.............
90,Ha.NO2.CO.H.H.H,SE.SE.RE.PO.SE.UP.SA...........,NO2.CO.NH2..NO2..Ha...........
91,C.F.NO2.H.H.H,SE.RE.SA.SE.SE.RE............,NO2.NH2.F.NO2.CO.C............
92,OH.H.NH2.H.C.H,SE.SE.RE.SE.SA.RE............,NO2.CO.NH2.NO2.OH.B............
93,OH.NH2.H.NO2.H.H,SE.RE.SA.SE.RE.SE............,NO2.NH2.OH.NO2.NH2.NO2............
94,OH.C.H.F.H.H,SE.RE.SA.SE.SE.RE.SA...........,NO2.NH2.OH.NO2.CO.B.F...........
95,NH2.F.CO.H.H.H,SE.SE.SN.SE.RE.............,Ha.NO2.F.CO.NH2.............
96,Ha.NO2.H.H.F.H,SE.SE.RE.SA.SE.............,NO2.Ha.NH2.F.NO2.............
97,Ha.CO.H.Ha.H.H,SE.SE.SE...............,Ha.CO.Ha...............
98,NH2.H.C.H.Ha.H,SE.SE.SE.RE..............,NO2.CO.Ha.B..............
99,OH.Ha.H.CO.H.H,SE.RE.SA.SE.SE.............,NO2.NH2.OH.CO.Ha.............
100,OH.H.NO2.F.H.H,SE.RE.SA.SE.RE.SE.SA...........,NO2.NH2.F.NO2.NH2.NO2.OH...........
101,OH.C.C.H.H.H,SE.SE.RE.SA.SE.RE............,NO2.CO.B.OH.CO.C............
102,C.H.H.Ha.H.H,SE.RE.SE...............,CO.C.Ha...............
103,Ha.H.NO2.H.H.H,SE.SE................,NO2.Ha................
104,F.F.H.H.H.H,SE.SE.SN.RE.SA.............,Ha.NO2.F.NH2.F.............
105,C.F.H.H.H.H,SE.SE.SN.RE..............,Ha.CO.F.C..............
106,OH.C.H.H.H.H,SE.SE.SN.RE..............,Ha.CO.OH.C..............
107,NO2.H.NO2.H.H.H,SE.SE................,NO2.NO2................
108,CO.H.CO.H.H.H,SE.SE................,CO.CO................
109,NH2.NO2.H.H.H.H,SE.RE.PO.SE.UP.............,NO2.NH2..NO2..............
110,C.H.F.H.H.H,SE.SE.RE.SA.............,CO.NO2.B.F..............
111,NH2.H.H.C.H.H,SE.RE.SE.RE..............,NO2.NH2.CO.C..............
112,C.H.NO2.H.H.H,SE.SE.RE...............,NO2.CO.C...............
113,OH.NH2.H.H.H.H,SE.SE.SN.RE..............,Ha.NO2.OH.NH2..............
114,NH2.H.C.H.H.H,SE.SE.RE...............,NO2.CO.B...............
115,OH.H.OH.H.H.H,SE.SE.RE.SA.SA.............,NO2.NO2.B.OH.OH.............
116,F.H.CO.H.H.H,SE.SE.RE.SA.OX.............,NO2.CO.B.F.CO.............
117,Ha.H.CO.H.H.H,SE.SE................,CO.Ha................
118,C.H.H.NO2.H.H,SE.RE.SE...............,CO.C.NO2...............
119,Ha.F.H.H.H.H,SE.SE.RE.SA..............,Ha.NO2.NH2.F..............
120,Ha.H.H.CO.H.H,SE.SE................,Ha.CO................
121,OH.F.H.H.H.H,,SE.SE.SN.RE.SA.............,Ha.NO2.OH.NH2.F.............
122,NH2.H.H.F.H.H,,SE.SE.SN.RE..............,Ha.NO2.F.NH2..............
123,NO2.NO2.H.H.H.H,SE.RE.PO.SE.UP.OX............,NO2.NH2..NO2..NO2............
124,NH2.H.CO.H.H.H,SE.SE.RE...............,NO2.CO.NH2...............
125,OH.H.CO.H.H.H,SE.SE.RE.SA..............,NO2.CO.NH2.OH..............
126,OH.NO2.H.H.H.H,SE.SE.SN...............,Ha.NO2.OH...............
127,OH.H.H.OH.H.H,SE.SE.SN.RE.SA.............,Ha.NO2.OH.NH2.OH.............
128,F.H.F.H.H.H,SE.SE.RE.SA.SA.............,NO2.NO2.B.F.F.............
129,OH.H.H.NO2.H.H,SE.SE.SN...............,Ha.NO2.OH...............
130,Ha.H.F.H.H.H,SE.SE.RE.SA..............,NO2.Ha.NH2.F..............
131,NH2.H.H.CO.H.H,SE.RE.SE...............,NO2.NH2.CO...............
132,NH2.CO.H.H.H.H,SE.RE.SE...............,NO2.NH2.CO...............
133,C.C.H.H.H.H,SE.RE.SE.RE..............,CO.C.CO.C..............
134,NH2.NH2.H.H.H.H,SE.RE.PO.SE.UP.RE............,NO2.NH2..NO2..NH2............
135,F.H.H.CO.H.H,SE.SE.SN...............,Ha.CO.F...............
136,NH2.H.F.H.H.H,SE.RE.SE.SA.RE.............,NO2.NH2.NO2.F.NH2.............
137,OH.CO.H.H.H.H,SE.SE.SN...............,Ha.CO.OH...............
138,OH.H.H.CO.H.H,SE.SE.SN...............,Ha.CO.OH...............
139,C.H.Ha.H.H.H,SE.SE.RE...............,CO.Ha.C...............
140,C.CO.H.H.H.H,SE.RE.SE...............,CO.C.CO...............
141,NH2.H.Ha.H.H.H,SE.SE.RE...............,NO2.Ha.NH2...............
142,OH.H.Ha.H.H.H,SE.SE.RE.SA..............,NO2.Ha.NH2.OH..............
143,Ha.H.Ha.H.H.H,SE.SE.RE.SA..............,NO2.Ha.NH2.Ha..............
144,NH2.H.H.Ha.H.H,SE.SE.RE...............,Ha.NO2.NH2...............
145,NH2.H.NH2.H.H.H,SE.SE.RE...............,NO2.NO2.B...............
146,Ha.H.H.Ha.H.H,SE.SE................,Ha.Ha................
147,F.CO.H.H.H.H,SE.SE.SN...............,Ha.CO.F...............
148,NH2.H.NO2.H.H.H,SE.RE.SE...............,NO2.NH2.NO2...............
149,OH.H.H.F.H.H,SE.SE.SN.RE.SA.............,Ha.NO2.OH.NH2.F.............
150,C.H.H.CO.H.H,SE.RE.SE...............,CO.C.CO...............
151,CO.H.NO2.H.H.H,SE.SE................,NO2.CO................
152,NO2.H.H.NO2.H.H,SE.RE.PO.SE.UP.OX............,NO2.NH2..NO2..NO2............
153,Ha.NO2.H.H.H.H,SE.SE................,Ha.NO2................
154,F.H.H.NO2.H.H,SE.SE.SN...............,Ha.NO2.F...............
155,NH2.H.H.NO2.H.H,SE.RE.PO.SE.UP.............,NO2.NH2..NO2..............
156,C.H.C.H.H.H,SE.SE.RE...............,CO.CO.B...............
157,OH.H.H.NH2.H.H,SE.SE.SN.RE..............,Ha.NO2.OH.NH2..............
158,F.NO2.H.H.H.H,SE.SE.SN...............,Ha.NO2.F...............
159,OH.H.NO2.H.H.H,SE.RE.SE.SA..............,NO2.NH2.NO2.OH..............
160,OH.H.H.Ha.H.H,SE.RE.SA.SE..............,NO2.NH2.OH.Ha..............
161,OH.H.NH2.H.H.H,SE.RE.SE.SA.RE.............,NO2.NH2.NO2.OH.NH2.............
162,C.H.H.F.H.H,SE.SE.SN.RE..............,Ha.CO.F.C..............
163,OH.OH.H.H.H.H,SE.SE.SN.RE.SA.............,Ha.NO2.OH.NH2.OH.............
164,CO.CO.H.H.H.H,SE.RE.SE.RE..............,CO.C.CO.C..............
165,F.H.NO2.H.H.H,SE.RE.SE.SA..............,NO2.NH2.NO2.F..............
166,C.NO2.H.H.H.H,SE.RE.SE...............,CO.C.NO2...............
167,OH.H.H.C.H.H,SE.SE.SN.RE..............,Ha.CO.OH.C..............
168,OH.H.F.H.H.H,SE.RE.SE.SA.RE.SA............,NO2.NH2.NO2.OH.NH2.F............
169,Ha.Ha.H.H.H.H,SE.SE................,Ha.Ha................
170,CO.H.H.NO2.H.H,SE.RE.SE.OX..............,NO2.NH2.CO.NO2..............
171,NH2.C.H.H.H.H,SE.RE.SE.RE..............,NO2.NH2.CO.C..............
172,F.H.H.F.H.H,SE.SE.SN.RE.SA.............,Ha.NO2.F.NH2.F.............
173,Ha.H.H.F.H.H,SE.SE.RE.SA..............,Ha.NO2.NH2.F..............
174,NH2.H.H.NH2.H.H,SE.RE.PO.SE.RE.UP............,NO2.NH2..NO2.NH2.............
175,C.H.H.C.H.H,SE.RE.SE.RE..............,CO.C.CO.C..............
